week_start,class_number,class_label,soil_moisture,avg_temp_f,max_temp_f,min_temp_f,precip_in_monthly_total,pdsi,phdi,pmdi,ndvi,txmeso_precip_in,txmeso_air_temp_f,txmeso_soil_vwc_5cm,txmeso_soil_vwc_10cm,txmeso_soil_vwc_20cm,txmeso_rel_humidity,txmeso_solar_rad
1/4/00,3,D2,0.23586862269909148,52.57096774193548,66.44193548387098,38.78064516129032,0.66,-2.8470967741935485,-2.8470967741935485,-2.8470967741935485,,,,,,,,
1/11/00,3,D2,0.2362349292924327,53.903225806451616,67.70645161290322,40.13548387096775,0.66,-2.8403225806451613,-2.8403225806451613,-2.8403225806451613,,,,,,,,
1/18/00,3,D2,0.2366012358857739,55.23548387096774,68.97096774193548,41.49032258064516,0.66,-2.833548387096774,-2.833548387096774,-2.833548387096774,,,,,,,,
1/25/00,3,D2,0.2369675424791151,56.56774193548387,70.23548387096774,42.84516129032259,0.66,-2.826774193548387,-2.826774193548387,-2.826774193548387,,,,,,,,
2/1/00,3,D2,0.2373338490724563,57.9,71.5,44.2,1.96,-2.82,-2.82,-2.82,,,,,,,,
2/8/00,3,D2,0.23473989655231603,59.1551724137931,72.73103448275862,45.52758620689656,1.96,-2.9068965517241376,-2.9068965517241376,-2.9068965517241376,,,,,,,,
2/15/00,3,D2,0.23214594403217576,60.41034482758621,73.96206896551723,46.855172413793106,1.96,-2.993793103448276,-2.993793103448276,-2.993793103448276,,,,,,,,
2/22/00,3,D2,0.22955199151203548,61.66551724137931,75.19310344827586,48.18275862068966,1.96,-3.0806896551724137,-3.0806896551724137,-3.0806896551724137,0.40700853825,,,,,,,
2/29/00,3,D2,0.2269580389918952,62.92068965517242,76.42413793103448,49.51034482758621,1.96,-3.167586206896552,-3.167586206896552,-3.167586206896552,0.4143569584375,,,,,,,
3/7/00,3,D2,0.22784578511791845,63.8741935483871,77.23870967741935,50.57096774193548,0.84,-3.2516129032258068,-3.2516129032258068,-3.2516129032258068,0.421975253,,,,,,,
3/14/00,3,D2,0.22931381435163556,64.77741935483871,77.98387096774194,51.587096774193554,0.84,-3.3351612903225805,-3.3351612903225805,-3.3351612903225805,0.4302682335,,,,,,,
3/21/00,3,D2,0.2307818435853527,65.68064516129031,78.72903225806452,52.60322580645162,0.84,-3.4187096774193546,-3.4187096774193546,-3.4187096774193546,0.438561214,,,,,,,
3/28/00,3,D2,0.23224987281906984,66.58387096774193,79.4741935483871,53.61935483870968,0.84,-3.5022580645161288,-3.5022580645161288,-3.5022580645161288,0.4459725991875,,,,,,,
4/4/00,3,D2,0.23429089635610575,68.03,80.62,55.35,1.43,-3.5429999999999997,-3.5429999999999997,-3.5429999999999997,0.453383984375,,,,,,,
4/11/00,3,D2,0.23709591229756669,70.2,82.3,58.03333333333334,1.43,-3.5266666666666664,-3.5266666666666664,-3.5266666666666664,0.46290355925000004,,,,,,,
4/18/00,3,D2,0.23990092823902762,72.37,83.98,60.71666666666667,1.43,-3.510333333333333,-3.510333333333333,-3.510333333333333,0.47326641,,,,,,,
4/25/00,3,D2,0.24270594418048852,74.54,85.66,63.400000000000006,1.43,-3.4939999999999998,-3.4939999999999998,-3.4939999999999998,0.4838205911875,,,,,,,
5/2/00,3,D2,0.24673191097474861,76.43548387096774,87.08709677419354,65.78064516129032,4.57,-3.463548387096774,-3.463548387096774,-3.455806451612903,0.494629879625,,,,,,,
5/9/00,3,D2,0.2580835828858037,76.68387096774194,86.99677419354839,66.34516129032258,4.57,-3.3483870967741938,-3.3483870967741938,-3.286451612903226,0.503691363875,,,,,,,
5/16/00,3,D2,0.2694352547968587,76.93225806451613,86.90645161290323,66.90967741935484,4.57,-3.233225806451613,-3.233225806451613,-3.1170967741935485,0.502266023,,,,,,,
5/23/00,3,D2,0.2807869267079137,77.18064516129033,86.81612903225806,67.4741935483871,4.57,-3.1180645161290323,-3.1180645161290323,-2.947741935483871,0.500840682125,,,,,,,
5/30/00,3,D2,0.2921385986189688,77.42903225806451,86.72580645161291,68.03870967741936,4.57,-3.0029032258064516,-3.0029032258064516,-2.7783870967741935,0.52378898975,,,,,,,
6/6/00,1,D0,0.2828822880983352,78.38333333333333,88.35,68.31666666666666,4.65,-3.08,-3.08,-2.88,0.550799572125,,,,,,,
6/13/00,2,D1,0.2653827846050262,79.62,90.66,68.48,4.65,-3.234,-3.234,-3.09,0.55722858325,,,,,,,
6/20/00,2,D1,0.24788328111171717,80.85666666666667,92.97,68.64333333333333,4.65,-3.388,-3.388,-3.3,0.5482214159375001,,,,,,,
6/27/00,1,D0,0.23038377761840817,82.09333333333333,95.28,68.80666666666667,4.65,-3.542,-3.542,-3.51,0.531466122375,,,,,,,
7/4/00,1,D0,0.21823427369517662,82.69354838709677,96.49354838709677,68.81290322580645,0.49,-3.6754838709677418,-3.6754838709677418,-3.6754838709677418,0.4953405131875,,,,,,,
7/11/00,1,D0,0.21321810253204834,82.44516129032257,96.24516129032257,68.60967741935484,0.49,-3.781612903225806,-3.781612903225806,-3.781612903225806,0.459214904,,,,,,,
7/18/00,1,D0,0.20820193136892004,82.19677419354839,95.99677419354839,68.40645161290323,0.49,-3.887741935483871,-3.887741935483871,-3.887741935483871,0.46175574825,,,,,,,
7/25/00,2,D1,0.20318576020579177,81.9483870967742,95.7483870967742,68.20322580645161,0.49,-3.9938709677419353,-3.9938709677419353,-3.9938709677419353,0.4642965925,,,,,,,
8/1/00,2,D1,0.1981695890426635,81.7,95.5,68.0,0.46,-4.1,-4.1,-4.1,0.454904014875,,,,,,,
8/8/00,3,D2,0.2062679812792808,80.41290322580646,94.5741935483871,66.35161290322581,0.46,-4.070645161290322,-4.070645161290322,-4.070645161290322,0.44073806849999997,,,,,,,
8/15/00,3,D2,0.21436637351589813,79.1258064516129,93.6483870967742,64.70322580645161,0.46,-4.041290322580645,-4.041290322580645,-4.041290322580645,0.4295649485625,,,,,,,
8/22/00,3,D2,0.22246476575251545,77.83870967741936,92.7225806451613,63.05483870967742,0.46,-4.0119354838709675,-4.0119354838709675,-4.0119354838709675,0.422382263875,,,,,,,
8/29/00,3,D2,0.23056315798913277,76.5516129032258,91.79677419354839,61.406451612903226,0.46,-3.9825806451612906,-3.9825806451612906,-3.9825806451612906,0.41846958975000004,,,,,,,
